timestamp,update_id,episode_id,phase_id,phase_name,max_step,episode_return,episode_len,done_reason,start_distance,final_distance,start_agl,final_agl,start_alt_error,final_alt_error,final_closing_speed,final_look_angle_deg,final_alignment,final_grounded_flag,final_ang_vel_mag
2026-04-01 17:31:19,342,1,1,phase_1_2_guided_close_range_refine,500,-147.66675866263034,380,low_agl,80.98471069335938,156.14602661132812,0.40629085898399353,0.2727237343788147,48.5619010925293,49.71548843383789,-30.338132858276367,67.16791637336532,0.38803173669692265,0.0,0.9050290290914554
2026-04-01 17:31:24,342,2,1,phase_1_2_guided_close_range_refine,500,-146.90675253224725,419,low_agl,77.32721710205078,178.0301055908203,0.40629085898399353,0.39127814769744873,48.5619010925293,49.74627685546875,-35.55945587158203,90.72185787710013,-0.012598463389008968,0.0,0.4880876433302396
2026-04-01 17:31:30,343,3,1,phase_1_2_guided_close_range_refine,500,-175.62443633956156,443,low_agl,74.98197937011719,338.2226867675781,0.40629085898399353,0.3577565550804138,48.5619010925293,49.70351028442383,-73.21815490722656,66.86600152148324,0.39288285613800483,0.0,0.6408694292587622
2026-04-01 17:31:34,343,4,1,phase_1_2_guided_close_range_refine,500,-112.09794157573492,248,high_altitude,69.39167022705078,108.56546020507812,0.40629085898399353,100.11670684814453,48.5619010925293,-50.662139892578125,-53.17410659790039,144.98016347381858,-0.8189534157565969,0.0,0.31167296543479367
2026-04-01 17:31:40,343,5,1,phase_1_2_guided_close_range_refine,500,-136.07685237944466,460,low_agl,79.5216293334961,151.3939208984375,0.40629085898399353,0.32667094469070435,48.5619010925293,49.688270568847656,-29.278377532958984,59.83852233729467,0.5024387450589891,0.0,0.6021452812034072
2026-04-01 17:31:45,343,6,1,phase_1_2_guided_close_range_refine,500,-184.68888374493406,409,low_agl,85.15597534179688,357.4441833496094,0.40629085898399353,0.37571194767951965,48.5619010925293,49.71257019042969,-91.46011352539062,96.97454089240996,-0.12142829821861671,0.0,0.6134267240958531
2026-04-01 17:31:49,344,7,1,phase_1_2_guided_close_range_refine,500,-91.06900526646615,278,high_altitude,72.948974609375,57.889190673828125,0.40629085898399353,100.22416687011719,48.5619010925293,-50.552337646484375,-18.86090850830078,85.5775711301108,0.07710932614312237,0.0,0.4072607451840812
2026-04-01 17:31:53,344,8,1,phase_1_2_guided_close_range_refine,500,-103.28571882127576,267,high_altitude,85.7017822265625,84.21843719482422,0.40629085898399353,100.10969543457031,48.5619010925293,-50.45661926269531,-43.18834686279297,134.5071475514929,-0.7009982356317997,0.0,0.28585686597217125
2026-04-01 17:31:58,344,9,1,phase_1_2_guided_close_range_refine,500,-154.2148044326326,397,low_agl,81.1759262084961,214.4987030029297,0.40629085898399353,0.3298059403896332,48.5619010925293,49.69099426269531,-49.60599899291992,67.93211891884135,0.3757048098113945,0.0,0.6016871418584655
2026-04-01 17:32:03,345,10,1,phase_1_2_guided_close_range_refine,500,-141.40475740249138,345,low_agl,78.10150146484375,88.32240295410156,0.40629085898399353,0.3178268373012543,48.5619010925293,49.712257385253906,-20.569866180419922,79.10771541995125,0.18896321122490797,0.0,0.9087567479130764
2026-04-01 17:32:09,345,11,1,phase_1_2_guided_close_range_refine,500,-174.74684921201447,428,low_agl,73.80973815917969,328.23736572265625,0.40629085898399353,0.3859533667564392,48.5619010925293,49.76860046386719,-76.2149658203125,99.95297465358826,-0.17283984113701814,0.0,0.4877928141227418
2026-04-01 17:32:13,345,12,1,phase_1_2_guided_close_range_refine,500,-104.89052660834976,305,high_altitude,70.80343627929688,70.81462860107422,0.40629085898399353,100.0648422241211,48.5619010925293,-50.248985290527344,-28.99493980407715,123.40765301811528,-0.5505922461069247,0.0,0.571627831845466
2026-04-01 17:32:19,346,13,1,phase_1_2_guided_close_range_refine,500,-151.93719366368407,432,low_agl,77.64547729492188,257.4384460449219,0.40629085898399353,0.2839154601097107,48.5619010925293,49.679290771484375,-42.53831100463867,51.30293738436728,0.6252026451660397,0.0,0.7829294570601549
2026-04-01 17:32:25,346,14,1,phase_1_2_guided_close_range_refine,500,-141.6410841451174,405,low_agl,71.59390258789062,163.23516845703125,0.40629085898399353,0.2594147026538849,48.5619010925293,49.67352294921875,-38.8538703918457,57.48507820592923,0.5375192382990992,0.0,0.8498733580836442
2026-04-01 17:32:30,346,15,1,phase_1_2_guided_close_range_refine,500,-164.82923813070516,401,low_agl,86.62041473388672,394.4329528808594,0.40629085898399353,0.345451295375824,48.5619010925293,49.707210540771484,-85.04893493652344,54.93069332427659,0.5745668871090841,0.0,0.8624245866235661
2026-04-01 17:32:37,347,16,1,phase_1_2_guided_close_range_refine,500,-175.86167409394903,429,low_agl,85.83686065673828,476.0863342285156,0.40629085898399353,0.38856086134910583,48.5619010925293,49.75030517578125,-107.44634246826172,85.05934418721442,0.08612388607082176,0.0,0.6399300837639633
2026-04-01 17:32:40,347,17,1,phase_1_2_guided_close_range_refine,500,-95.39756498924811,271,high_altitude,76.04325866699219,82.33531188964844,0.40629085898399353,100.22488403320312,48.5619010925293,-50.350067138671875,-34.95013427734375,108.496086474981,-0.3172398814637506,0.0,0.6572862645995418
2026-04-01 17:32:44,347,18,1,phase_1_2_guided_close_range_refine,500,-122.5978947100318,287,high_altitude,71.50963592529297,148.33062744140625,0.40629085898399353,100.26758575439453,48.5619010925293,-50.44617462158203,-63.46208190917969,149.1665913217945,-0.8586611831182333,0.0,0.4631084014713894
