episode_id,timestamp,done_reason,episode_len,episode_return,min_distance,final_distance,min_theta_deg,final_theta_deg,reward_distance,reward_alignment,reward_theta_progress,reward_closing,reward_final_approach,reward_terminal
1,2026-05-15 15:17:58,bad_angle,33,-49.618320158057315,690.732421875,690.732421875,82.80383130816863,112.78554772658656,0.7893035888671874,-0.8892628304865938,-0.15169020492057572,0.798329288482666,0.0,-50.0
2,2026-05-15 15:18:00,bad_angle,165,-39.95217063128675,609.0562744140625,609.0562744140625,22.669358581684595,110.87483645722133,4.89006652832031,1.3828886569874603,-0.3019036581625192,4.901777841567992,0.0,-50.0
3,2026-05-15 15:18:02,low_agl,204,-43.496012779172986,578.0877075195312,578.0877075195312,30.545452911754104,86.52002112235667,6.451455688476561,4.876982615397861,-0.25451054464104084,6.450059461593627,0.0,-60.0
4,2026-05-15 15:18:03,low_agl,133,-52.22473534640985,631.2002563476562,631.2002563476562,38.52865997593505,96.56063825889636,3.7621490478515636,1.0926161053189942,-0.17854195961763517,3.7640414600372316,0.0,-60.0
5,2026-05-15 15:18:04,bad_angle,40,-49.642181231742626,689.0162963867188,689.0162963867188,82.01180257201395,113.25150323176483,0.9189056396484374,-1.1169780920154504,-0.16949726623779685,0.9253884868621829,0.0,-50.0
6,2026-05-15 15:18:05,low_agl,162,-53.549222124862666,620.9214477539062,620.9214477539062,46.2896058543346,86.17652407880756,4.312774658203124,-1.1724170577459598,-0.19372889142701738,4.314149166107178,0.0,-60.0
7,2026-05-15 15:18:06,bad_angle,42,-49.16769772829568,686.4244995117188,686.4244995117188,80.068641073902,111.3121393188314,1.0295715332031248,-0.867515441403054,-0.16149734655449047,1.0417435264587402,0.0,-50.0
8,2026-05-15 15:18:08,low_agl,257,-40.21295077250156,549.4637451171875,549.4637451171875,9.015653336478193,88.26670539880404,7.890444946289068,5.642398411451682,-0.34639067069334667,7.885596540451052,0.0,-60.0
9,2026-05-15 15:18:09,low_agl,81,-54.11282943991386,659.9950561523438,659.9950561523438,28.364064660675865,73.9792815420255,2.3257476806640622,1.7063760542213622,-0.061019895761802084,2.3210667209625244,0.0,-60.0
10,2026-05-15 15:18:10,low_agl,109,-54.762931348228996,647.9742431640625,647.9742431640625,46.066173291110566,85.09382298214464,2.9669555664062495,-0.019901922075258552,-0.12770234256608692,2.9627173500061046,0.0,-60.0
11,2026-05-15 15:18:13,bad_angle,258,-32.639067867502334,552.2758178710938,552.2758178710938,25.181239196132235,110.68751851923373,7.749160766601569,3.5387535206086267,-0.39646402536377545,7.759481870651244,0.0,-50.0
12,2026-05-15 15:18:15,low_agl,157,-47.53729559532957,610.0447387695312,610.0447387695312,24.399028856909453,88.67656456032898,4.825982666015628,3.8048716368673,-0.20978397528462792,4.826634077072141,0.0,-60.0
13,2026-05-15 15:18:15,bad_angle,29,-49.553178182696065,692.5093383789062,692.5093383789062,82.00420740165688,113.59891397370835,0.6991577148437499,-0.6671487960024884,-0.14903257959518423,0.7088454780578612,0.0,-50.0
14,2026-05-15 15:18:17,low_agl,169,-42.49830461349546,594.6619262695312,594.6619262695312,3.81166689416154,75.08293765906203,5.636468505859374,7.300410218724652,-0.22151510420802462,5.63133176612854,0.0,-60.0
15,2026-05-15 15:18:19,low_agl,240,-30.66841676380116,534.2822265625,534.2822265625,3.2478132203924197,77.19617769769646,8.618054199218747,13.65533340536137,-0.35235664689995144,8.610552278518677,0.0,-60.0
