episode_id,timestamp,done_reason,episode_len,episode_return,min_distance,final_distance,min_theta_deg,final_theta_deg
56,2026-05-15 15:19:19,bad_angle,35,-49.99389196015456,690.5713500976562,690.5713500976562,81.83259206857115,118.52371259171933
57,2026-05-15 15:19:21,low_agl,192,-43.47458230375011,583.2300415039062,583.2300415039062,16.34956725023209,77.99956503844086
58,2026-05-15 15:19:23,low_agl,141,-48.55373265754153,621.4295043945312,621.4295043945312,13.526645797397592,76.16918362390416
59,2026-05-15 15:19:25,low_agl,220,-38.18698351153016,560.2755126953125,560.2755126953125,4.304387349376151,75.3780633029091
60,2026-05-15 15:19:28,low_agl,258,-40.84151070679705,547.962646484375,547.962646484375,5.81008035379066,64.5026262950646
61,2026-05-15 15:19:29,bad_angle,98,-45.396624272448854,654.8724365234375,654.8724365234375,47.17312155932702,112.90464573514407
62,2026-05-15 15:19:30,bad_angle,60,-47.944034937025485,675.4555053710938,675.4555053710938,66.16977984881633,115.8318667379256
63,2026-05-15 15:19:30,bad_angle,29,-49.9598540869998,693.608642578125,693.608642578125,81.54182408541453,111.40464057076089
64,2026-05-15 15:19:31,bad_angle,95,-45.36808852635922,654.581298828125,654.581298828125,49.57514541116418,113.80037040327788
65,2026-05-15 15:19:31,bad_angle,26,-49.9364930786554,694.2140502929688,694.2140502929688,87.71990094442032,119.65912225820722
66,2026-05-15 15:19:32,bad_angle,60,-48.67936727458304,678.0468139648438,678.0468139648438,74.75732205076,114.94664690073527
67,2026-05-15 15:19:34,low_agl,182,-42.193929546690946,588.5983276367188,588.5983276367188,1.1037582497089433,48.376723834488324
68,2026-05-15 15:19:35,low_agl,97,-54.99683522106049,653.4409790039062,653.4409790039062,51.41976093993118,88.54030228638723
69,2026-05-15 15:19:38,low_agl,228,-37.35636169973432,549.4183349609375,549.4183349609375,15.260012058737074,79.66097440310061
70,2026-05-15 15:19:39,low_agl,121,-51.306439171399596,635.1731567382812,635.1731567382812,38.72352185786092,71.95993611391124
71,2026-05-15 15:19:41,bad_angle,172,-36.2885765285895,600.5872802734375,600.5872802734375,1.9762537646406593,110.36088521274539
72,2026-05-15 15:19:41,bad_angle,26,-50.12594647119606,695.5103149414062,695.5103149414062,82.35648123828946,127.54286810769445
73,2026-05-15 15:19:43,low_agl,199,-39.71041279626841,577.5147705078125,577.5147705078125,4.732013540479602,58.77268497769252
74,2026-05-15 15:19:45,low_agl,132,-49.92429712418879,627.099853515625,627.099853515625,35.83921493363458,89.82001335947
75,2026-05-15 15:19:48,bad_angle,287,-40.09315713048357,559.7346801757812,559.7346801757812,49.23529910372644,110.8504731724519
76,2026-05-15 15:19:49,bad_angle,48,-48.058937793978025,682.4561767578125,682.4561767578125,57.20620158211761,110.15817202836858
77,2026-05-15 15:19:50,low_agl,143,-46.15057494698482,617.1553344726562,617.1553344726562,14.606810332557489,47.26940673605669
78,2026-05-15 15:19:50,bad_angle,39,-50.53869025202287,689.8430786132812,689.8430786132812,78.69718689988763,112.61153499710214
79,2026-05-15 15:19:51,bad_angle,65,-47.42067384007802,672.5731811523438,672.5731811523438,60.321847013532285,112.0167689543666
80,2026-05-15 15:19:52,bad_angle,47,-48.543090554088536,683.592041015625,683.592041015625,67.04636632689576,111.30281611061433
