episode_id,timestamp,update_id,done_reason,episode_len,logged_steps,episode_return,sum_reward_from_steps,dense_no_terminal,start_distance,min_distance,final_distance,min_theta_deg,final_theta_deg,max_alignment,final_closing_speed,final_agl,reward_step_penalty,reward_distance,reward_alignment,reward_theta_progress,reward_closing,reward_final_approach,reward_terminal,pos_delta_frac,pos_closing_frac,pos_alignment_reward_frac,gate_zero_steps,gate_zero_base
1,2026-05-15 15:17:58,33,bad_angle,33,33,-49.618320158057315,-49.618320158057315,0.38167984194268456,706.5184936523438,690.732421875,690.732421875,82.80383130816863,112.78554772658656,0.12526689162352378,21.225847244262695,5.153702259063721,-0.16500000000000006,0.7893035888671874,-0.8892628304865938,-0.15169020492057572,0.798329288482666,0.0,-50.0,1.0,1.0,0.0,0,0.0
2,2026-05-15 15:18:00,198,bad_angle,165,165,-39.95217063128675,-39.95217063128675,10.047829368713252,706.8576049804688,609.0562744140625,609.0562744140625,22.669358581684595,110.87483645722133,0.9227443376174596,21.346954345703125,15.548165321350098,-0.8250000000000006,4.89006652832031,1.3828886569874603,-0.3019036581625192,4.901777841567992,0.0,-50.0,1.0,1.0,0.5515151515151515,0,0.0
3,2026-05-15 15:18:02,402,low_agl,204,204,-43.496012779172986,-43.496012779172986,16.503987220827014,707.1168212890625,578.0877075195312,578.0877075195312,30.545452911754104,86.52002112235667,0.8612262576713569,34.17031478881836,0.3888384699821472,-1.0200000000000002,6.451455688476561,4.876982615397861,-0.25451054464104084,6.450059461593627,0.0,-60.0,1.0,1.0,0.8480392156862745,1,0.0006166457420346772
4,2026-05-15 15:18:03,535,low_agl,133,133,-52.22473534640985,-52.22473534640985,7.775264653590149,706.4432373046875,631.2002563476562,631.2002563476562,38.52865997593505,96.56063825889636,0.7822966703230184,23.686382293701172,0.4747106432914734,-0.6650000000000005,3.7621490478515636,1.0926161053189942,-0.17854195961763517,3.7640414600372316,0.0,-60.0,1.0,1.0,0.6240601503759399,0,0.0
5,2026-05-15 15:18:04,575,bad_angle,40,40,-49.642181231742626,-49.642181231742626,0.35781876825737413,707.3944091796875,689.0162963867188,689.0162963867188,82.01180257201395,113.25150323176483,0.138969108983801,21.407672882080078,4.81422233581543,-0.2000000000000001,0.9189056396484374,-1.1169780920154504,-0.16949726623779685,0.9253884868621829,0.0,-50.0,1.0,1.0,0.0,0,0.0
6,2026-05-15 15:18:05,737,low_agl,162,162,-53.549222124862666,-53.549222124862666,6.450777875137334,707.1769409179688,620.9214477539062,620.9214477539062,46.2896058543346,86.17652407880756,0.6910135546702694,29.840234756469727,0.44754642248153687,-0.8100000000000006,4.312774658203124,-1.1724170577459598,-0.19372889142701738,4.314149166107178,0.0,-60.0,1.0,1.0,0.3148148148148148,0,0.0
7,2026-05-15 15:18:06,779,bad_angle,42,42,-49.16769772829568,-49.16769772829568,0.8323022717043216,707.0159301757812,686.4244995117188,686.4244995117188,80.068641073902,111.3121393188314,0.17246824110000464,21.97076416015625,5.368866920471191,-0.2100000000000001,1.0295715332031248,-0.867515441403054,-0.16149734655449047,1.0417435264587402,0.0,-50.0,1.0,1.0,0.0,0,0.0
8,2026-05-15 15:18:08,1036,low_agl,257,257,-40.21295077250156,-40.21295077250156,19.787049227498443,707.2726440429688,549.4637451171875,549.4637451171875,9.015653336478193,88.26670539880404,0.987645565485936,26.610210418701172,0.5372060537338257,-1.2849999999999946,7.890444946289068,5.642398411451682,-0.34639067069334667,7.885596540451052,0.0,-60.0,1.0,1.0,0.7392996108949417,0,0.0
9,2026-05-15 15:18:09,1117,low_agl,81,81,-54.11282943991386,-54.11282943991386,5.88717056008614,706.510009765625,659.9950561523438,659.9950561523438,28.364064660675865,73.9792815420255,0.8799467065770485,28.987316131591797,0.3103618323802948,-0.40500000000000025,2.3257476806640622,1.7063760542213622,-0.061019895761802084,2.3210667209625244,0.0,-60.0,1.0,1.0,0.7283950617283951,0,0.0
10,2026-05-15 15:18:10,1226,low_agl,109,109,-54.762931348228996,-54.762931348228996,5.237068651771004,707.3133544921875,647.9742431640625,647.9742431640625,46.066173291110566,85.09382298214464,0.6938271117359424,27.816287994384766,0.4163742661476135,-0.5450000000000004,2.9669555664062495,-0.019901922075258552,-0.12770234256608692,2.9627173500061046,0.0,-60.0,1.0,1.0,0.4954128440366973,0,0.0
