timestamp,update_id,loss,policy_loss,value_loss,entropy,kl,clip_frac,alpha,q1_loss,q2_loss,gamma,lam,lr
2026-05-09 17:39:54,500,0.0,0.0,0.0,0.0,0.0,0.25,0.25,,,0.995,0.0,3e-05
2026-05-09 17:39:59,1000,0.0,0.0,0.0,0.0,0.0,0.25,0.25,,,0.995,0.0,3e-05
2026-05-09 17:40:04,1500,0.0,0.0,0.0,0.0,0.0,0.25,0.25,,,0.995,0.0,3e-05
2026-05-09 17:40:10,2000,0.0,0.0,0.0,0.0,0.0,0.25,0.25,,,0.995,0.0,3e-05
2026-05-09 17:40:15,2500,0.0,0.0,0.0,0.0,0.0,0.25,0.25,,,0.995,0.0,3e-05
2026-05-09 17:40:21,3000,0.0,0.0,0.0,0.0,0.0,0.25,0.25,,,0.995,0.0,3e-05
2026-05-09 17:40:27,3500,0.0,0.0,0.0,0.0,0.0,0.25,0.25,,,0.995,0.0,3e-05
2026-05-09 17:40:32,4000,0.0,0.0,0.0,0.0,0.0,0.25,0.25,,,0.995,0.0,3e-05
2026-05-09 17:40:38,4500,0.0,0.0,0.0,0.0,0.0,0.25,0.25,,,0.995,0.0,3e-05
2026-05-09 17:40:44,5000,0.0,0.0,0.0,0.0,0.0,0.25,0.25,,,0.995,0.0,3e-05
2026-05-09 17:40:49,5500,0.0,0.0,0.0,0.0,0.0,0.25,0.25,,,0.995,0.0,3e-05
2026-05-09 17:40:55,6000,0.0,0.0,0.0,0.0,0.0,0.25,0.25,,,0.995,0.0,3e-05
2026-05-09 17:41:01,6500,0.0,0.0,0.0,0.0,0.0,0.25,0.25,,,0.995,0.0,3e-05
2026-05-09 17:41:06,7000,0.0,0.0,0.0,0.0,0.0,0.25,0.25,,,0.995,0.0,3e-05
2026-05-09 17:41:12,7500,0.0,0.0,0.0,0.0,0.0,0.25,0.25,,,0.995,0.0,3e-05
2026-05-09 17:41:18,8000,-5.587241172790527,-0.19947844743728638,0.25207725167274475,1.0071682929992676,-5.639840126037598,0.2499924898147583,0.2499924898147583,0.14331167936325073,0.10876557230949402,0.995,0.0,3e-05
