update_id,episodes,success_rate,mean_return,mean_len,timestamp,loss,policy_loss,value_loss,entropy,kl,clip_frac,gamma,lam,lr,mean_theta,bad_theta_frac,mean_a0,high_a0_frac,mean_agl,mean_reward,mean_thrust_gate
2102,6,83.33333333333334,106.75471265329618,185.66666666666666,2026-04-11 17:02:44,274.31398010253906,0.001117362640798,548.660888671875,4.397017860412598,0.0056101840920746,0.0360085226595401,0.997,0.97,2e-05,52.274839391370875,0.08333333333333334,-0.19957948391219058,37.083333333333336,12.358549561401208,0.522036803084632,0.028853321990927997
2103,6,83.33333333333334,105.9951438128863,187.83333333333334,2026-04-11 17:03:03,222.33504943847657,0.0035977592691779,444.6980865478516,4.3969756126403805,0.0054519284982234,0.0664062498137354,0.997,0.97,2e-05,52.966852833656795,0.08333333333333334,-0.21633716462883362,35.5,13.426755166972677,0.5196486402700995,0.02561553946455253
2104,7,85.71428571428571,113.10526289716617,189.57142857142858,2026-04-11 17:03:21,290.05173645019534,0.0282349117100238,580.0821655273437,4.396909189224243,0.0071455727797001,0.1075284086167812,0.997,0.97,2e-05,52.8580602045583,0.08333333333333334,-0.2491093401366379,35.41666666666667,13.496457607423265,0.6798013361956098,0.026381106473281804
2105,6,100.0,161.99679371944703,181.0,2026-04-11 17:03:40,69.53733418782552,0.0025251971712956,139.10478922526042,4.396780649820964,0.0029526289940501,0.1403882570564746,0.997,0.97,2e-05,51.633367009603255,0.0,-0.17467185264613364,39.33333333333333,12.496087914407253,0.7972258493501773,0.030118136627270847
2106,7,85.71428571428571,110.08782735075738,187.28571428571428,2026-04-11 17:04:09,380.15821838378906,-0.0016751114899913,760.3549377441407,4.396865431467692,0.0011395004480921,0.0607007581740617,0.997,0.97,2e-05,52.801193210660934,0.08333333333333334,-0.21449656206095824,35.91666666666667,13.50258170199891,0.6537507801826666,0.02754111698734114
2107,6,50.0,12.664453371383212,193.33333333333334,2026-04-11 17:04:30,877.8540893554688,-0.0007469533632198,1755.7448323567708,4.396878433227539,0.0029144305949254,0.1016571970035632,0.997,0.97,2e-05,52.283623148401375,0.25,-0.1908093013460166,37.0,13.510173186212779,0.056173038764353166,0.0273649157705469
2108,6,100.0,156.75744665554495,189.5,2026-04-11 17:04:50,457.9690348307292,-0.0023640730728705,915.977950032552,4.396867911020915,0.0003215937972224,0.02386363632977,0.997,0.97,2e-05,53.090825269325556,0.0,-0.25196058810215616,33.916666666666664,13.11553064664205,0.7781058035634585,0.024351038028254973
2109,7,85.71428571428571,113.84839592889419,187.71428571428572,2026-04-11 17:05:10,225.49762776692708,-0.0034491761277119,451.0373311360677,4.39684632619222,0.0005952360651766,0.0202651516844828,0.997,0.97,2e-05,52.8652812114608,0.08333333333333334,-0.20241595795106454,37.583333333333336,13.478317539418738,0.6777492621148146,0.027856442029319962
2110,6,100.0,153.0048188721312,191.33333333333334,2026-04-11 17:05:30,308.94854024251305,-5.163736641407013e-05,617.9323465983073,4.396813360850016,-0.0003493864593716,0.0171638257801532,0.997,0.97,2e-05,52.8889290396065,0.0,-0.2910668258452885,32.083333333333336,12.958825546056032,0.7543708132981447,0.02388934796358866
2111,6,83.33333333333334,104.36545735592495,190.5,2026-04-11 17:05:50,298.7646555582682,0.002592654931747,597.5592895507813,4.396843783060709,0.000302943381636,0.0342329544325669,0.997,0.97,2e-05,52.04358757280119,0.08333333333333334,-0.2325811026210431,35.66666666666667,13.120713153878848,0.5170731430411215,0.024001351207326393
2112,6,50.0,11.435356417271914,197.33333333333334,2026-04-11 17:06:10,621.5667297363282,0.0046172604896128,1243.159375,4.396822500228882,0.0015708521590568,0.0780184654518962,0.997,0.97,2e-05,54.63333969833546,0.25,-0.16103918790594132,38.83333333333333,14.435684929812949,0.05099569021572772,0.030843777147371198
2113,7,85.71428571428571,116.09408906130147,186.28571428571428,2026-04-11 17:06:31,171.8428077697754,0.0066457409411668,343.70750732421874,4.396819972991944,0.0021768808364868,0.1130681812763214,0.997,0.97,2e-05,51.57841603317846,0.08333333333333334,-0.2577505670010093,34.333333333333336,13.068182716270288,0.697389337490018,0.021452256863846636
2114,6,50.0,8.657861787225338,197.0,2026-04-11 17:06:51,1250.3471313476562,0.0053915027529001,2500.7186279296875,4.3967931270599365,0.0040351074188947,0.1686789780855178,0.997,0.97,2e-05,54.9827100528569,1.0,-0.10487435231198712,43.166666666666664,14.30020275918146,0.04191087312976872,0.0358209144259418
2115,5,40.0,-90.72176650586255,249.0,2026-04-11 17:07:12,632.7198608398437,0.0058456291444599,1265.46318359375,4.396747064590454,0.0023796915076673,0.0890269882977008,0.997,0.97,2e-05,70.12499776791503,27.0,-0.06728285858533734,46.33333333333333,21.303047576621175,-0.37464427601511535,0.054662640605591215
2116,6,66.66666666666666,54.61992228553237,186.16666666666666,2026-04-11 17:07:33,629.0914611816406,0.0074945479631423,1258.203076171875,4.396747207641601,0.0032607887871563,0.0794034093618392,0.997,0.97,2e-05,55.8762170560397,3.5000000000000004,-0.13050235063376023,41.5,12.60288232418398,0.2647901246573042,0.039114301939401096
2117,7,85.71428571428571,118.01396278320503,183.85714285714286,2026-04-11 17:07:53,465.32973429361977,0.0087842060873905,930.6770629882812,4.396763197580973,0.0016413975817461,0.0490530305852492,0.997,0.97,2e-05,51.35614759885882,0.16666666666666669,-0.1750299124713638,38.83333333333333,13.258102336004377,0.6972582530123776,0.027701239480430018
2118,6,16.666666666666664,-75.20200056177896,198.5,2026-04-11 17:08:14,911.4705240885417,0.004562215693295,1822.9670654296876,4.396778424580892,0.003402963358288,0.1229403406381607,0.997,0.97,2e-05,52.768509143273185,0.4166666666666667,-0.03016932255399297,46.58333333333333,14.666864171822866,-0.37704671361738545,0.032438152190720104
2119,6,66.66666666666666,64.37454847253933,186.66666666666666,2026-04-11 17:08:36,384.93333435058594,0.0196224302053451,769.8625732421875,4.3967937469482425,0.0072266256902366,0.1918678984045982,0.997,0.97,2e-05,52.07122442707864,0.16666666666666669,-0.19182684180802123,37.75,12.819659449855486,0.3150385425215085,0.026717731144590338
2120,7,42.857142857142854,-5.629242348649506,184.85714285714286,2026-04-11 17:08:57,722.1030456542969,0.0041901725810021,1444.232861328125,4.396847915649414,0.0053268992807716,0.1862215891480446,0.997,0.97,2e-05,53.32687559389646,0.5833333333333334,0.06155976978256755,53.75,14.655080746759971,-0.025049647541780944,0.04536632058296754
2121,6,66.66666666666666,60.19363797812838,185.5,2026-04-11 17:09:18,424.0158243815104,-0.0008416613563895,848.0684855143229,4.3968955993652346,0.0020457442927484,0.0582149617373943,0.997,0.97,2e-05,53.24241076958058,0.16666666666666669,-0.12948645529182007,41.91666666666667,12.539126202613115,0.29368435619477445,0.03368598520008702
2122,5,40.0,-61.76130846341774,223.0,2026-04-11 17:09:39,524.8323699951172,0.0034868493676185,1049.692901611328,4.3968781471252445,0.0065559595590457,0.1452059656381607,0.997,0.97,2e-05,63.89722796151793,16.083333333333332,0.06556129716322175,53.666666666666664,19.516613691026965,-0.2763637758862234,0.061140491419728646
