timestamp,update_id,episode_id,phase_id,phase_name,max_step,episode_return,episode_len,done_reason,start_distance,final_distance,start_agl,final_agl,start_alt_error,final_alt_error,final_closing_speed,final_theta_deg,final_alpha_deg,final_beta_deg,final_alignment,final_forward_up_dot,final_grounded_flag,final_ang_vel_mag,episode_index,success_flag,min_distance,theta_at_min_distance,alignment_at_min_distance,closing_at_min_distance,agl_at_min_distance,mean_theta,bad_theta_frac,mean_a0,high_a0_frac,mean_thrust,mean_reward,sum_gate
2026-04-13 13:07:12,2142,1,1,v8_7_phase_2_1_thrust_guard_v2,500,142.63369773334796,190,success,113.60694122314452,14.670531272888184,0.4062908589839935,37.23042678833008,48.5619010925293,12.170368194580078,29.10513687133789,36.46281461995133,-9.868126685466546,31.19338856208361,0.8042427356336498,0.9973560571670532,0.0,5.226017394402157,1,1.0,14.670531272888184,36.46281461995133,0.8042427356336498,29.10513687133789,37.23042678833008,53.90592997229305,0.0,-0.5004653358439866,0.19473684210526315,737.465099811701,0.750703672280779,12.376891701612935
2026-04-13 13:07:15,2142,2,1,v8_7_phase_2_1_thrust_guard_v2,500,167.23925566036056,190,success,114.2954330444336,14.56089687347412,0.4062908589839935,35.51268005371094,48.5619010925293,13.89883041381836,25.531892776489254,20.047575100849567,-1.499591190886454,18.31210770256666,0.9394083031327576,0.9584915637969972,0.0,1.7333898790983575,2,1.0,14.56089687347412,20.047575100849567,0.9394083031327576,25.531892776489254,35.51268005371094,47.972042306850796,0.0,-0.5430986252221229,0.16842105263157894,734.2676031083407,0.8802066087387398,5.340968144512704
2026-04-13 13:07:18,2142,3,1,v8_7_phase_2_1_thrust_guard_v2,500,169.09665050404138,192,success,113.452880859375,14.863739013671877,0.4062908589839935,36.28234100341797,48.5619010925293,13.117549896240234,26.055944442749023,24.636453062648265,2.219996108805146,-11.625010141892028,0.908971076394028,0.995599925518036,0.0,1.885374129945563,3,1.0,14.863739013671877,24.636453062648265,0.908971076394028,26.055944442749023,36.28234100341797,51.23672065692862,0.0,-0.5604988517946671,0.16145833333333334,732.9625861154,0.8807117213752155,4.760762002637478
2026-04-13 13:07:21,2142,4,1,v8_7_phase_2_1_thrust_guard_v2,500,152.17927204535792,194,success,115.8104248046875,14.940810203552246,0.4062908589839935,36.73299026489258,48.5619010925293,12.669174194335938,26.652271270751957,36.57916347736791,2.417756338816637,29.80064810352089,0.803034248769286,0.9900144934654236,0.0,3.56177482931068,4,1.0,14.940810203552246,36.57916347736791,0.803034248769286,26.652271270751957,36.73299026489258,52.552329124499295,0.0,-0.576567864085106,0.13402061855670103,731.757410193617,0.7844292373472058,5.008405408137168
2026-04-13 13:07:24,2142,5,1,v8_7_phase_2_1_thrust_guard_v2,500,152.35555528817503,197,success,111.99224853515624,11.91715145111084,0.4062908589839935,38.872314453125,48.5619010925293,10.533073425292969,24.869190216064453,40.01850181883325,-35.91311075026495,-44.62133897974816,0.7658368357142473,0.9776626229286194,0.0,2.4020257491883026,5,1.0,11.91715145111084,40.01850181883325,0.7658368357142473,24.869190216064453,38.872314453125,53.68141474844801,0.0,-0.48648883448677316,0.2131979695431472,738.513337413492,0.7733784532394673,8.436961670249948
2026-04-13 13:07:27,2142,6,1,v8_7_phase_2_1_thrust_guard_v2,500,150.56690114870486,193,success,113.55579376220705,14.961737632751465,0.4062908589839935,36.69077682495117,48.5619010925293,12.70880126953125,27.928152084350582,32.61726785307241,-32.70844404830291,24.29014539625569,0.8422899835302875,0.9972965121269226,0.0,2.5175691353985625,6,1.0,14.961737632751465,32.61726785307241,0.8422899835302875,27.928152084350582,36.69077682495117,54.399979716195205,0.0,-0.615493296877206,0.12435233160621761,728.8380027342096,0.7801393841901806,7.114123479916934
2026-04-13 13:07:32,2143,7,1,v8_7_phase_2_1_thrust_guard_v2,500,163.4544657314238,192,success,113.7757797241211,14.725619316101074,0.4062908589839935,36.08138275146485,48.5619010925293,13.32196807861328,26.43636512756348,23.086172583331912,14.362171739507849,-16.73940200465786,0.9199161547999216,0.9841653108596802,0.0,0.3806921093272015,7,1.0,14.725619316101074,23.086172583331912,0.9199161547999216,26.43636512756348,36.08138275146485,49.751729724658055,0.0,-0.5492341466791307,0.171875,733.8074389990652,0.8513253423511656,4.657148270242534
2026-04-13 13:07:39,2143,8,1,v8_7_phase_2_1_thrust_guard_v2,500,-368.8419948805202,365,wrong_way,110.66937255859376,146.09664916992188,0.4062908589839935,40.56067657470703,48.5619010925293,9.506011962890623,-44.3756217956543,128.5512362556201,114.019407739771,154.8623816933165,-0.6232142282221237,-0.7731801271438599,0.0,2.226000933075058,8,0.0,20.118322372436523,87.73957871941913,0.0394415605398216,-0.2642624974250793,35.993614196777344,76.25058339511868,0.41643835616438357,-0.08115531461925743,0.46301369863013697,768.9133514035557,-1.0105260133712877,73.9254325708385
2026-04-13 13:07:44,2143,9,1,v8_7_phase_2_1_thrust_guard_v2,500,-129.92383541274526,220,near_miss,111.1816864013672,7.00970458984375,0.4062908589839935,47.110801696777344,48.5619010925293,2.3059310913085938,-7.515364646911621,76.95961409579306,-23.621379376504944,-26.867339694641583,0.2256377997092036,0.9434287548065186,0.0,1.057460374792935,9,0.0,6.77284574508667,66.89715401428766,0.3923828053284383,-0.190177172422409,45.84761428833008,55.011454629736456,0.004545454545454545,-0.4932305167175152,0.21818181818181817,738.0077112461863,-0.5905628882397513,8.89827931165816
2026-04-13 13:07:48,2143,10,1,v8_7_phase_2_1_thrust_guard_v2,500,171.9861700927309,187,success,107.01610565185548,14.805197715759276,0.4062908589839935,34.79758834838867,48.5619010925293,14.60186004638672,19.36257553100586,7.9638793363771,3.529031104985474,-7.403562206494165,0.990355610085871,0.9994878172874452,0.0,0.8742893134990628,10,1.0,14.805197715759276,7.9638793363771,0.990355610085871,19.36257553100586,34.79758834838867,45.683377649288246,0.0,-0.4872973312668622,0.19786096256684493,738.4527001549853,0.9197121395333202,3.2428209636007836
