update_id,episodes,success_rate,mean_return,loss,policy_loss,value_loss,entropy,kl,clip_frac,lr,mean_theta,mean_a0,high_a0_frac
2102,6,100.0,142.59520362003028,54.73714752197266,0.0014330578036606,109.50660705566406,4.39705080986023,0.0029442210216075,0.2067116469144821,2e-05,52.915070344991115,-0.23340951458531586,35.66666666666667
2103,6,66.66666666666666,45.51285569593799,572.6228190104167,0.0143147831161816,1145.2521647135416,4.396865685780843,0.004122335029145,0.1002130682269732,2e-05,52.367449051209086,-0.2087111589188377,37.083333333333336
2104,6,66.66666666666666,44.80340422019171,630.6701629638671,-0.0062255109660327,1261.3879333496093,4.396782779693604,0.0036500996444374,0.0704900564625859,2e-05,51.379298734225124,-0.1944134481960403,36.5
2105,7,100.0,151.67785758212318,387.7871602376302,0.0034759325285752,775.6025268554688,4.396752071380615,0.0005360151835096,0.0346354169150193,2e-05,50.9277154198201,-0.2362308962084353,35.25
2106,6,83.33333333333334,91.87424114812156,233.1259969075521,-0.0009379195670286,466.28904825846354,4.396713129679362,-8.66757400217466e-05,0.0364109847694635,2e-05,52.85317874519812,-0.2209801465482451,36.16666666666667
2107,7,100.0,151.26797135559698,31.33533681233724,0.0041564632828036,62.69753443400065,4.396767489115397,-0.0003570834795633,0.1369791669150193,2e-05,49.312723206473144,-0.30959586401246875,28.166666666666668
2108,6,83.33333333333334,88.32733626919003,857.7785278320313,0.0017962453265984,1715.5886271158854,4.397013759613037,0.0007238421744356,0.0688446967552105,2e-05,52.863520684667634,-0.19018720048698015,38.25
2109,6,83.33333333333334,100.72267529176439,295.82428588867185,0.0116044532507658,591.6605255126954,4.397077989578247,0.0033540535252541,0.0789772734045982,2e-05,51.52520812672168,-0.2841133960687633,31.416666666666664
2110,7,85.71428571428571,103.437653843529,596.4163675944011,-0.001314249013861,1192.8705322265623,4.397082710266114,0.0006532967556267,0.0887547346452872,2e-05,51.94723270324025,-0.2606331632990623,32.75
2111,6,83.33333333333334,90.08563078143095,709.7536071777344,0.008920301683247,1419.5245239257813,4.397087144851684,0.0038056598743423,0.0756747163832187,2e-05,53.03864186349663,-0.19766411611596899,37.5
2112,6,100.0,150.9946748849642,111.70497970581054,0.0150329689805706,223.4150680541992,4.397083028157552,-0.000383355996261,0.0805160984396934,2e-05,49.97757713790428,-0.33139369749784237,28.249999999999996
2113,7,100.0,153.24858076558192,296.73414001464846,0.0040784093813272,593.4952941894531,4.397083950042725,0.0038096493575721,0.0258522730320692,2e-05,48.4098289929991,-0.2824701060692314,32.166666666666664
2114,6,83.33333333333334,102.85273744421552,414.4002227783203,-0.0006118081510066,828.83681640625,4.3971082210540775,0.0017378854332491,0.0384588070213794,2e-05,52.28711533163186,-0.35661410966849266,27.500000000000004
2115,6,100.0,145.9876805954654,77.47350463867187,0.0093645743404825,154.9634516398112,4.397154680887858,0.0017906899408747,0.0356060609221458,2e-05,51.19189715630227,-0.30522450504708104,31.416666666666664
2116,6,83.33333333333334,103.25536132960202,604.824609375,-0.0007268257439136,1209.6858357747396,4.39731871287028,0.0012308527249842,0.0548295458157857,2e-05,52.188568713418945,-0.31916764785981894,30.0
2117,7,85.71428571428571,103.0636806484603,368.627864074707,0.0024677022360265,737.2859588623047,4.3974213123321535,0.0019348256639204,0.0961292620748281,2e-05,53.00276732012099,-0.30111727932749394,30.916666666666664
2118,6,66.66666666666666,38.7773487931448,402.60686645507815,0.0157865734305232,805.2173156738281,4.3974916458129885,0.0010920851957052,0.0967329546809196,2e-05,55.16644041548453,-0.30294475961495965,30.666666666666664
2119,6,100.0,152.87666724420944,41.6525686899821,0.0006977591663599,83.33892059326172,4.397553030649821,0.0006460846556971,0.0037405303368965,2e-05,51.331184769688996,-0.375177334130276,27.250000000000004
2120,7,100.0,157.1750956389892,42.07955106099447,0.0148420921779082,84.16459757486979,4.39764076868693,0.0019896210171282,0.0849195074290037,2e-05,50.44339008529518,-0.42992840211101185,22.833333333333332
2121,6,100.0,155.75310281404833,18.292126655578613,0.0015452819565931,36.61634305318197,4.397534497578939,0.0018077697604894,0.1006628786524136,2e-05,49.86425905313471,-0.35732240054911624,27.666666666666668
2122,6,100.0,154.26769374975393,43.72846794128418,0.0009549260139465,87.49020487467448,4.397421487172445,0.0012341130408458,0.0552793561170498,2e-05,51.57073951953726,-0.41375388306439465,24.333333333333336
2123,5,80.0,39.51062575870664,271.7379638671875,-0.0047087383766969,543.5205139160156,4.397430388132731,-6.380636477842927e-05,0.0326231059928735,2e-05,60.80374040086202,-0.2509305424206347,34.166666666666664
2124,7,100.0,159.65499828083756,14.135759671529136,0.0002205006700629,28.306257502237955,4.397415002187093,0.000209986026554,0.0264678026239077,2e-05,49.59521229136783,-0.4177401643236711,22.166666666666668
2125,6,66.66666666666666,58.73957278217392,467.73960774739584,0.0004486892372369,935.5134724934896,4.397172546386718,0.0004067765238384,0.0732717797160148,2e-05,52.55653581324674,-0.375017654238618,25.75
2126,6,66.66666666666666,45.66504358654614,333.33399963378906,0.0129844084382057,666.6771789550781,4.397063398361206,0.0034459517570212,0.0912286937236785,2e-05,54.286838976646,-0.38145402710748993,25.916666666666664
2127,6,83.33333333333334,107.01776554457935,202.8747812906901,0.033013883853952,405.7187215169271,4.3970336278279625,0.003304683137685,0.2048295443256696,2e-05,49.440820831296406,-0.3750229635941893,25.5
2128,6,83.33333333333334,52.865088874113894,272.51595916748045,0.0078613859601318,545.0513702392578,4.39700837135315,0.003273019962944,0.0578124996274709,2e-05,63.55389179880585,-0.38968434989888917,26.166666666666664
2129,6,100.0,150.99311806339452,440.0887837727865,0.0053802851587533,880.201953125,4.397004667917887,0.0021627241823201,0.0447443182269732,2e-05,53.10568324449691,-0.42813277180073783,23.5
2130,5,60.0,-69.9620457013502,281.9093454996745,0.005693249280254,563.8424621582031,4.396998151143392,0.000414768140763,0.0447443184753259,2e-05,68.1660430197532,-0.26226101749402003,32.666666666666664
2131,6,66.66666666666666,51.98919339079382,508.51441345214846,0.0106157155707478,1017.0427490234376,4.39700665473938,0.001228531775996,0.1938920438289642,2e-05,53.5000299535865,-0.404297974986063,24.5
2132,6,83.33333333333334,88.781789572797,299.4959187825521,0.0046962183589736,599.0176066080729,4.396988582611084,0.0001468353633147,0.054805871595939,2e-05,53.3966349725488,-0.38537292217525343,25.583333333333336
2133,6,83.33333333333334,102.32732033027723,396.77967427571616,0.008570575787841,793.5773783365886,4.396971416473389,0.0014444228028878,0.2544507563114166,2e-05,52.09100973629114,-0.4368328138349655,22.5
2134,7,100.0,156.64210386290932,130.72234395345052,0.0040098261088132,261.4718475341797,4.396929804484049,0.0009649829027087,0.0675899621099233,2e-05,51.905700646584684,-0.5744243274348749,13.916666666666666
2135,6,83.33333333333334,107.06188465328746,366.1174682617187,0.0010761636930207,732.2679402669271,4.396913401285807,-0.0006721796836548,0.0184422350178162,2e-05,51.84266109760936,-0.4421826268261066,22.0
2136,6,66.66666666666666,61.85532080172498,388.8246826171875,-0.0006737635936588,777.6858764648438,4.396907138824463,0.0050499880686402,0.0592329531908035,2e-05,50.546157546260275,-0.36384397171845195,27.083333333333332
2137,5,100.0,157.91077502349202,175.3868148803711,0.0170655123889446,350.7746917724609,4.396915245056152,0.0013697779853828,0.1463423296809196,2e-05,60.70557538531803,-0.3298941813330263,28.166666666666668
2138,6,83.33333333333334,49.203844902933916,66.73489761352539,0.0071285120521982,133.49071248372397,4.3969344139099125,0.0029922855785116,0.1075757576773564,2e-05,54.263807501925086,-0.513830127456046,17.5
2139,5,60.0,-73.09383843121921,703.9136739095052,-0.0009456079453229,1407.8644083658853,4.396942170461019,0.0011440123741825,0.0224668561170498,2e-05,71.30133310188364,-0.2737896848974439,32.58333333333333
2140,5,80.0,31.92697682579623,408.392041015625,-0.0001144429668784,816.8194702148437,4.396946907043457,0.0041717641055583,0.0411221593618392,2e-05,60.10658947099784,-0.33745606660144406,28.083333333333332
2141,5,80.0,92.70973135247394,,,,,,,,51.11641186208901,-0.41418561910103385,24.906600249066003
