update_id,episode_id,phase_name,episode_return,episode_len,done_reason,start_distance,final_distance,final_agl,final_closing_speed,final_theta_deg,final_alignment,step_count,mean_theta,mean_a0,high_a0_frac,sum_reward,base_distance,base_alignment,base_closing,base_theta,base_alpha_beta,base_axis_error,base_angle_focus,base_turn_toward,base_action_alignment,base_near_success,base_reverse,min_distance,theta_at_min_distance,alignment_at_min_distance,closing_at_min_distance,agl_at_min_distance,best_progress_ratio,final_progress_ratio,theta_score,closing_score,safety_score
2102,1,v8_7_phase_2_1_thrust_guard_v2,143.78024761977412,191,success,115.67491912841795,14.471894264221191,38.94317626953125,32.32022476196289,34.448687456362954,0.8246331160975569,191,54.79882332685314,-0.2401705228635817,0.3612565445026178,143.78024761977414,35.31157401859658,99.56884914342042,48.41002988664757,2.5607073600943333,3.473519161646647,1.9517739257143747,-6.989749240339858,1.9252776508142595,-4.141016810339692,0.0148584033116536,0.0,14.471894264221191,34.448687456362954,0.8246331160975569,32.32022476196289,38.94317626953125,0.8748916846169995,0.8748916846169995,0.6172368060404116,1.0,1.0
2102,2,v8_7_phase_2_1_thrust_guard_v2,137.12826259051093,183,success,107.7357406616211,14.986272811889648,36.23637771606445,26.510892868041992,40.16649152757992,0.7641733830588979,183,51.83510407153778,-0.20173605684638837,0.3825136612021858,137.12826259051096,36.06198330285013,98.88713002285914,51.19729999048182,1.9201409146968471,-0.7535332641303268,7.597635963805763,-6.922667339202981,3.6978412010008093,1.198480920788328,0.0,0.0,14.986272811889648,40.16649152757992,0.7641733830588979,26.510892868041992,36.23637771606445,0.8608978532114159,0.8608978532114159,0.5537056496935564,0.9418482144673666,1.0
2102,3,v8_7_phase_2_1_thrust_guard_v2,137.36202137552922,182,success,110.37584686279295,14.913774490356444,36.660926818847656,29.822418212890625,33.70092859131371,0.831945129670995,182,52.10892723359228,-0.16032277316540725,0.4010989010989011,137.36202137552925,36.885516790393524,100.70794482266763,52.264177196527825,2.516432650938235,1.8223258585988769,3.5355156945776023,-6.475448773712198,4.245651027802193,1.3536182524000546,0.05219919668358,0.0,14.913774490356444,33.70092859131371,0.831945129670995,29.822418212890625,36.660926818847656,0.8648819020261235,0.8648819020261235,0.6255452378742921,0.9970403035481771,1.0
2102,4,v8_7_phase_2_1_thrust_guard_v2,131.1864152522774,201,success,114.57135772705078,7.654954433441162,43.19380187988281,30.795351028442383,40.04050527324444,0.7655898327838776,201,54.44850053951241,-0.30147201370040133,0.3034825870646766,131.1864152522774,37.61716905862274,106.17177265209959,51.83374185337693,2.073428288918504,1.4101322409483286,6.580412273760779,-9.185034384173058,-1.399107762425225,4.15944431283382,0.0,0.0,7.654954433441162,40.04050527324444,0.7655898327838776,30.795351028442383,43.19380187988281,0.933186141935422,0.933186141935422,0.5551054969639506,1.0,1.0
2102,5,v8_7_phase_2_1_thrust_guard_v2,153.1786611447364,187,success,108.500732421875,14.492349624633787,37.25620269775391,29.267200469970703,32.490683957184565,0.8434787972271417,187,53.27687593402977,-0.24156760096980787,0.33689839572192515,153.1786611447364,35.08520286606459,97.36820311673523,49.532054152024436,2.576774241751929,2.9413759336177363,5.033302085740229,-6.624690892180421,-2.777332652104972,10.062985302173225,0.1018456227581032,0.0,14.492349624633787,32.490683957184565,0.8434787972271417,29.267200469970703,37.25620269775391,0.8664308590260542,0.8664308590260542,0.638992400475727,0.9877866744995117,1.0
2102,6,v8_7_phase_2_1_thrust_guard_v2,152.9356137373537,184,success,110.83071899414062,14.444561004638672,36.09732055664063,28.07379913330078,17.58172483876593,0.9532870637290544,184,47.712893173941666,-0.24038378669407076,0.3641304347826087,152.93561373735366,45.14094986141333,108.94307418150944,67.10100630965735,3.869295476918655,1.988379972845588,1.4597219016066254,-3.7342802567335,-5.532166378477823,1.2758064981446229,6.991825122621199,0.0,14.444561004638672,17.58172483876593,0.9532870637290544,28.07379913330078,36.09732055664063,0.8696700595671285,0.8696700595671285,0.8046475017914897,0.9678966522216796,1.0
2103,7,v8_7_phase_2_1_thrust_guard_v2,-158.5870899001559,210,near_miss,114.00123596191406,4.201744556427002,48.03071212768555,-0.2476931661367416,78.14215206755405,0.2054842480685011,210,55.81168208694908,-0.09223975034962807,0.4523809523809524,-158.58708990015586,36.11998572060477,106.47018836184661,49.12203652364976,-1.1128893944295104,2.593087702093351,9.306761695734666,-14.988921824444203,-4.787239037099438,-12.266401244792911,0.0,0.0007687960543497777,4.201744556427002,78.14215206755405,0.2054842480685011,-0.2476931661367416,48.03071212768555,0.963142991205545,0.963142991205545,0.13175386591606608,0.49587178056438763,1.0
2103,8,v8_7_phase_2_1_thrust_guard_v2,147.18291272367435,181,success,107.47747039794922,14.961341857910156,35.39527130126953,26.937623977661133,22.9964580485838,0.9205290061894906,181,48.948594800107095,-0.245288180876832,0.3314917127071823,147.18291272367435,40.7623641411113,104.0063561053703,59.62677674104471,3.3451810532533344,2.524499559062389,2.0063753225415275,-4.792103799476631,-0.12235065759051746,9.644466592782173,2.1573825013396517,0.0,14.961341857910156,22.9964580485838,0.9205290061894906,26.937623977661133,35.39527130126953,0.8607955527561837,0.8607955527561837,0.7444837994601801,0.9489603996276855,1.0
2103,9,v8_7_phase_2_1_thrust_guard_v2,133.5023320067669,186,success,111.6144027709961,14.815225601196287,37.655540466308594,27.633934020996094,38.44444374346879,0.7832114036945081,186,53.2484205776146,-0.2539277723351974,0.3333333333333333,133.50233200676692,35.5297769360757,99.38680575444256,49.8130341260478,2.147064273769196,1.1517291702810482,4.288858719882908,-7.246931221173609,6.0266758029080405,-6.076286607744009,0.0,0.0,14.815225601196287,38.44444374346879,0.7832114036945081,27.633934020996094,37.655540466308594,0.867264212920681,0.867264212920681,0.5728395139614579,0.9605655670166016,1.0
2103,10,v8_7_phase_2_1_thrust_guard_v2,-148.03651640570226,209,near_miss,111.9494857788086,7.003911972045898,46.65904235839844,-7.11306095123291,77.35418729395553,0.2189234976029804,209,53.03968103944498,-0.18858769878245998,0.3923444976076555,-148.03651640570223,39.21979104972066,110.0454618076546,54.79968908540111,-1.0885113109168718,-0.5864888258148022,12.345739574811628,-13.169293268439732,-4.649780912798727,-8.026916676279878,0.0,0.014555707147289333,6.836912631988525,68.7825321120213,0.3619087928415124,-1.0149734020233154,45.77140045166016,0.9389285927985681,0.9374368544587661,0.23574964319976333,0.4830837766329447,1.0
