planned_phase,radius_min,radius_max,radius_mid,max_step,score,reward_corr,reward_sep,failure_order,thrust_score,theta_progress_gain,alpha_beta_gain,axis_error_penalty_gain,angle_focus_gain,turn_toward_gain,action_alignment_gain,reverse_penalty_gain,near_success_gain,thrust_gate_gain,thrust_gate_target_norm,thrust_gate_theta_start_deg,thrust_gate_theta_span_deg,thrust_gate_distance_scale,thrust_gate_distance_floor,min_thrust,max_thrust,phase_candidates,phase_elapsed_seconds
1,105.0,120.0,112.5,520.0,55.75784683227539,0.7851579189300537,61.24722671508789,137.4215087890625,2.3109402656555176,1.6649999618530273,0.4650000035762787,0.2800000011920929,1.8700001239776611,0.3840000033378601,0.05999999865889549,0.4049999713897705,0.25,1.649999976158142,-0.44999998807907104,55.0,15.0,30.0,0.6499999761581421,690.0,850.0,21430272,721.3626458644867
1,105.0,120.0,112.5,520.0,55.70860290527344,0.7840883731842041,61.22290802001953,138.86325073242188,2.24882173538208,1.6649999618530273,0.4650000035762787,0.2800000011920929,1.8700001239776611,0.2759999930858612,0.03200000151991844,0.4049999713897705,0.3375000059604645,1.649999976158142,-0.4000000059604645,55.0,15.0,35.0,0.800000011920929,720.0,840.0,21430272,721.3626458644867
1,105.0,120.0,112.5,520.0,55.66293716430664,0.7843405604362488,61.117332458496094,138.0709686279297,2.234799861907959,1.6649999618530273,0.4650000035762787,0.2800000011920929,1.8700001239776611,0.3840000033378601,0.024000000208616257,0.4049999713897705,0.20000000298023224,1.649999976158142,-0.4000000059604645,55.0,15.0,40.0,0.800000011920929,730.0,840.0,21430272,721.3626458644867
1,105.0,120.0,112.5,520.0,55.6385612487793,0.7831013202667236,60.97825622558594,139.10733032226562,2.2333173751831055,1.6649999618530273,0.4650000035762787,0.2800000011920929,1.8700001239776611,0.2759999930858612,0.024000000208616257,0.4049999713897705,0.20000000298023224,1.649999976158142,-0.3499999940395355,55.0,12.0,30.0,0.5,720.0,820.0,21430272,721.3626458644867
1,105.0,120.0,112.5,520.0,55.630123138427734,0.7829343676567078,61.01543045043945,139.14877319335938,2.2301084995269775,1.6649999618530273,0.4650000035762787,0.2800000011920929,1.8700001239776611,0.20399999618530273,0.05999999865889549,0.4049999713897705,0.25,1.649999976158142,-0.4000000059604645,55.0,15.0,30.0,0.6499999761581421,700.0,840.0,21430272,721.3626458644867
1,105.0,120.0,112.5,520.0,55.62974166870117,0.7848029732704163,60.80623245239258,136.68380737304688,2.262272596359253,1.6649999618530273,0.4650000035762787,0.2800000011920929,1.8700001239776611,0.2759999930858612,0.04800000041723251,0.44999998807907104,0.3375000059604645,1.649999976158142,-0.30000001192092896,55.0,12.0,30.0,0.800000011920929,710.0,840.0,21430272,721.3626458644867
1,105.0,120.0,112.5,520.0,55.62862777709961,0.7822956442832947,60.846527099609375,139.49224853515625,2.2550241947174072,1.6649999618530273,0.4650000035762787,0.2800000011920929,1.8700001239776611,0.23999999463558197,0.024000000208616257,0.4049999713897705,0.15000000596046448,1.649999976158142,-0.4000000059604645,55.0,12.0,35.0,0.6499999761581421,690.0,870.0,21430272,721.3626458644867
1,105.0,120.0,112.5,520.0,55.61665725708008,0.7832154631614685,60.98815155029297,138.97178649902344,2.211487054824829,1.6649999618530273,0.4650000035762787,0.2800000011920929,1.8700001239776611,0.2759999930858612,0.03200000151991844,0.4049999713897705,0.20000000298023224,1.649999976158142,-0.44999998807907104,55.0,15.0,50.0,0.6499999761581421,730.0,870.0,21430272,721.3626458644867
1,105.0,120.0,112.5,520.0,55.60141372680664,0.781862735748291,60.67274475097656,138.93670654296875,2.288745641708374,1.6649999618530273,0.4050000309944153,0.2800000011920929,1.8700001239776611,0.23999999463558197,0.03200000151991844,0.4049999713897705,0.25,1.649999976158142,-0.44999998807907104,55.0,15.0,50.0,0.800000011920929,720.0,820.0,21430272,721.3626458644867
1,105.0,120.0,112.5,520.0,55.57966613769531,0.7838326692581177,61.19633483886719,138.93759155273438,2.1315724849700928,1.6649999618530273,0.4650000035762787,0.2800000011920929,1.8700001239776611,0.23999999463558197,0.04800000041723251,0.4049999713897705,0.3375000059604645,1.649999976158142,-0.3499999940395355,55.0,15.0,35.0,0.800000011920929,710.0,870.0,21430272,721.3626458644867
1,105.0,120.0,112.5,520.0,55.56315231323242,0.785436749458313,61.37187957763672,137.6913299560547,2.0808207988739014,1.6649999618530273,0.4650000035762787,0.2800000011920929,1.8700001239776611,0.3840000033378601,0.03999999910593033,0.4049999713897705,0.3375000059604645,1.649999976158142,-0.25,55.0,12.0,35.0,0.6499999761581421,710.0,820.0,21430272,721.3626458644867
1,105.0,120.0,112.5,520.0,55.559566497802734,0.7821231484413147,60.829856872558594,139.4310302734375,2.199446201324463,1.6649999618530273,0.4650000035762787,0.2800000011920929,1.8700001239776611,0.20399999618530273,0.04800000041723251,0.4049999713897705,0.15000000596046448,1.649999976158142,-0.3499999940395355,55.0,12.0,30.0,0.3499999940395355,710.0,820.0,21430272,721.3626458644867
1,105.0,120.0,112.5,520.0,55.558353424072266,0.7848572134971619,60.76288604736328,136.53378295898438,2.197697877883911,1.6649999618530273,0.4650000035762787,0.2800000011920929,1.8700001239776611,0.3240000009536743,0.03200000151991844,0.44999998807907104,0.2874999940395355,1.649999976158142,-0.4000000059604645,55.0,12.0,75.0,0.800000011920929,700.0,870.0,21430272,721.3626458644867
1,105.0,120.0,112.5,520.0,55.53673553466797,0.7812012434005737,60.50202178955078,139.01564025878906,2.265253782272339,1.6649999618530273,0.4050000309944153,0.2800000011920929,1.8700001239776611,0.23999999463558197,0.03200000151991844,0.4049999713897705,0.15000000596046448,1.649999976158142,-0.44999998807907104,55.0,12.0,50.0,0.800000011920929,710.0,870.0,21430272,721.3626458644867
