left,right,mid,n,success,near_miss,low_agl,wrong_way,success_rate
145.0,150.0,147.5,33,0,31,0,0,0.0
150.0,155.0,152.5,71,0,37,0,0,0.0
155.0,160.0,157.5,76,0,2,0,0,0.0
160.0,165.0,162.5,93,0,0,0,0,0.0
165.0,170.0,167.5,37,0,0,0,0,0.0
