timestamp,update_id,loss,policy_loss,value_loss,entropy,kl,clip_frac,gamma,lam,lr
2026-04-18 12:59:45,1,742.9724487304687,0.0046515697613358,1485.992333984375,7.094794400533041,7.114224911977848e-05,0.1259469695389271,0.997,0.97,2e-05
2026-04-18 13:00:03,2,739.0185913085937,0.0034392035255829,1478.087060546875,7.094814745585124,-0.0001880222077791,0.0843749995032946,0.997,0.97,2e-05
2026-04-18 13:00:20,3,680.0914591471354,0.0011761023352543,1360.2373209635416,7.094676780700683,0.0016738282206157,0.0798768932620684,0.997,0.97,2e-05
2026-04-18 13:00:39,4,774.0351928710937,0.0031599683066209,1548.1208170572916,7.094563325246175,0.0006561526097357,0.079308711985747,0.997,0.97,2e-05
2026-04-18 13:01:00,5,840.0727498372396,0.002442542463541,1680.1973795572917,7.094465351104736,0.0011402814028163,0.0894176135460535,0.997,0.97,2e-05
2026-04-18 13:01:21,6,809.522041829427,-0.0021869328493873,1619.105224609375,7.094264888763428,0.0012673843380374,0.0928977274646361,0.997,0.97,2e-05
2026-04-18 13:01:41,7,557.2042887369792,0.0013361081480979,1114.4626790364584,7.09413267771403,0.0014640126183318,0.091808712358276,0.997,0.97,2e-05
2026-04-18 13:01:59,8,807.0219563802083,0.0045208269109328,1614.0916341145833,7.093969281514486,-8.874343087275824e-05,0.0606770830849806,0.997,0.97,2e-05
2026-04-18 13:02:17,9,806.804931640625,-0.000339476528461,1613.6673095703125,7.09388484954834,0.0015426709796884,0.0223366476595401,0.997,0.97,2e-05
2026-04-18 13:02:36,10,538.1376098632812,0.0029777557278672,1076.3260213216147,7.093871593475342,-3.4108408726751804e-05,0.1061079541842142,0.997,0.97,2e-05
2026-04-18 13:02:54,11,688.6055786132813,-0.0014815720419089,1377.2708821614583,7.093762588500977,7.849388445417087e-05,0.04339488632977,0.997,0.97,2e-05
2026-04-18 13:03:13,12,510.4569946289063,0.002580161144336,1020.9655883789062,7.093539873758952,0.0004329204423508,0.0698626893262068,0.997,0.97,2e-05
2026-04-18 13:03:31,13,711.1098307291667,8.589640880624453e-05,1422.276261393229,7.093446763356527,0.0005409334708626,0.0145359846452871,0.997,0.97,2e-05
2026-04-18 13:03:50,14,521.2611185709635,-0.0016788430511951,1042.5823608398437,7.0934477806091305,0.0024586487095803,0.090104167163372,0.997,0.97,2e-05
2026-04-18 13:04:10,15,624.8084513346354,-0.0005691198632121,1249.6747884114584,7.093508402506511,0.0008446146190787,0.0319365526239077,0.997,0.97,2e-05
2026-04-18 13:04:29,16,576.603584798177,-0.0036452429989973,1153.2712320963542,7.093460210164388,0.0013037031691055,0.0593039770921071,0.997,0.97,2e-05
2026-04-18 13:04:49,17,549.148583984375,-0.0053973659873008,1098.364715576172,7.093463277816772,0.0029018599074333,0.0290838062763214,0.997,0.97,2e-05
2026-04-18 13:05:11,18,508.9937622070312,-0.0016572069997588,1018.0476033528646,7.093549728393555,0.0009469218474502,0.1256865532447894,0.997,0.97,2e-05
2026-04-18 13:05:32,19,356.54785970052086,0.0003821608920892,713.1517211914063,7.09359302520752,0.0001090711021485,0.0240530305852492,0.997,0.97,2e-05
2026-04-18 13:05:52,20,598.4394002278646,-0.003581670547525,1196.942724609375,7.093464438120524,0.0017749859020113,0.0406723488122224,0.997,0.97,2e-05
2026-04-18 13:06:12,21,593.1567749023437,8.729820450146993e-05,1186.3701334635416,7.093395646413168,0.000535904992527,0.01226325755318,0.997,0.97,2e-05
2026-04-18 13:06:32,22,575.1440307617188,-0.0017674799387653,1150.3483642578126,7.093359343210856,0.000912915659137,0.0491477273404598,0.997,0.97,2e-05
2026-04-18 13:06:52,23,515.2918558756511,0.0009199356039365,1030.638623046875,7.093426418304444,0.0010707620397928,0.035440341134866,0.997,0.97,2e-05
