timestamp,update_id,episode_id,phase_id,phase_name,max_step,episode_return,episode_len,done_reason,start_distance,final_distance,start_agl,final_agl,start_alt_error,final_alt_error,final_closing_speed,final_theta_deg,final_alpha_deg,final_beta_deg,final_alignment,final_forward_up_dot,final_grounded_flag,final_ang_vel_mag
2026-04-18 11:55:54,2502,1,1,v8_7_phase_2_3_radius_105_120_safe_climb_guidance,560,-497.6627581946357,437,wrong_way,116.9920654296875,167.56637573242188,0.40629085898399353,89.73837280273438,48.5619010925293,-39.759666442871094,-39.8350944519043,128.3942375273582,129.06923780227388,-157.9031545910495,-0.6210689578566064,-0.5501821637153625,0.0,2.842799061956475
2026-04-18 11:56:01,2502,2,1,v8_7_phase_2_3_radius_105_120_safe_climb_guidance,560,-503.62021949576337,492,low_agl,116.4482650756836,131.493896484375,0.40629085898399353,0.17727968096733093,48.5619010925293,49.67066192626953,-15.263541221618652,87.5833108213984,-114.50038966112332,-82.04630868770084,0.042166677561644404,-0.2192917764186859,0.0,4.181883896657153
2026-04-18 11:56:05,2502,3,1,v8_7_phase_2_3_radius_105_120_safe_climb_guidance,560,-110.0107848911174,241,near_miss,128.34535217285156,11.637338638305664,0.40629085898399353,45.10960006713867,48.5619010925293,4.291168212890625,3.910984516143799,75.0286171645929,-60.66147133982199,41.032433155837886,0.2583365679092279,0.9927160739898682,0.0,0.3874581052794935
2026-04-18 11:56:10,2503,4,1,v8_7_phase_2_3_radius_105_120_safe_climb_guidance,560,-94.92753866144612,240,near_miss,118.72984313964844,13.11841106414795,0.40629085898399353,44.441226959228516,48.5619010925293,4.964595794677734,-10.365142822265625,76.66924909379748,76.90973322428447,36.28286304098359,0.23057201356979976,0.982546865940094,0.0,1.4616820101583037
2026-04-18 11:56:17,2503,5,1,v8_7_phase_2_3_radius_105_120_safe_climb_guidance,560,-372.8137398742063,456,high_altitude,115.8858413696289,135.82550048828125,0.40629085898399353,145.09634399414062,48.5619010925293,-95.03057098388672,-13.588696479797363,19.35733155125371,-24.66579043268076,-27.120845580781193,0.9434697584042485,-0.7821612358093262,0.0,2.802705544324189
2026-04-18 11:56:20,2503,6,1,v8_7_phase_2_3_radius_105_120_safe_climb_guidance,560,-84.81555554885037,244,near_miss,128.43324279785156,10.68105411529541,0.40629085898399353,46.10783386230469,48.5619010925293,3.2917518615722656,-6.197482109069824,76.09248059952492,-12.09194236412161,-38.35660409564784,0.24035543558512099,0.996906042098999,0.0,0.4147788197445855
2026-04-18 11:56:24,2503,7,1,v8_7_phase_2_3_radius_105_120_safe_climb_guidance,560,-85.23014654423375,243,near_miss,127.09395599365234,12.743147850036621,0.40629085898399353,45.820552825927734,48.5619010925293,3.583354949951172,-12.132448196411133,76.1997418902508,-74.29965839523413,-26.05647329675601,0.23853783240494467,0.9863557815551758,0.0,3.921487880388617
2026-04-18 11:56:27,2504,8,1,v8_7_phase_2_3_radius_105_120_safe_climb_guidance,560,-91.3479390349037,241,near_miss,120.7361831665039,14.140164375305176,0.40629085898399353,45.124691009521484,48.5619010925293,4.275661468505859,-15.65481948852539,76.28557004736119,-73.93198931221234,33.418739325754636,0.23708282337696382,0.9952816963195801,0.0,2.8562565474511565
2026-04-18 11:56:31,2504,9,1,v8_7_phase_2_3_radius_105_120_safe_climb_guidance,560,-108.89843513376655,245,near_miss,128.08154296875,9.313485145568848,0.40629085898399353,46.59288787841797,48.5619010925293,2.819721221923828,-11.650736808776855,76.9113656394961,-79.79683369588133,25.82054490244543,0.22645809747889886,0.9572327136993408,0.0,0.7694758605192988
2026-04-18 11:56:34,2504,10,1,v8_7_phase_2_3_radius_105_120_safe_climb_guidance,560,-92.74992881179216,238,near_miss,116.7482681274414,15.745361328125,0.40629085898399353,44.06357955932617,48.5619010925293,5.336597442626953,-15.689475059509277,75.26309755879944,-75.42207704192066,36.72833822393557,0.254380879181096,0.9944837093353271,0.0,1.6075055486497378
