episode,kept,steps,done_reason,start_distance,final_distance,final_theta_deg,final_agl,return_sum
1,1,101,success,151.58184814453125,8.67590045928955,0.4215087428454995,46.203372955322266,310.25592729564045
2,1,103,success,156.5193328857422,9.497467994689941,0.32864938623226714,46.1019401550293,311.9810440046583
3,1,104,success,159.28518676757812,9.95617961883545,0.2907401554718303,46.03762435913086,312.422371295606
4,1,103,success,155.23194885253906,8.310919761657715,0.43431241269236437,46.45363998413086,311.6887803969916
5,1,102,success,154.54031372070312,9.434309959411621,0.3397733631518378,46.051353454589844,311.49298226765063
6,1,105,success,160.79722595214844,9.44787883758545,0.31775184609193824,46.24282455444336,312.93704176964275
7,1,102,success,155.0546417236328,9.793274879455566,0.3165178496884138,45.938262939453125,311.36674971224795
8,1,108,success,166.06219482421875,8.85198974609375,0.34321129618188145,46.59804153442383,314.6992639360688
9,1,102,success,154.42974853515625,9.392136573791504,0.34321129618188145,46.06449890136719,311.10974047175563
10,1,100,success,150.53688049316406,9.558079719543457,0.35165914628770295,45.85504150390625,309.71220824168745
11,1,105,success,159.5712890625,8.569385528564453,0.3901695137363802,46.50461196899414,312.8203072992143
12,1,106,success,161.20376586914062,8.269850730895996,0.4130683098982298,46.639808654785156,313.6656230226487
13,1,100,success,149.70228576660156,8.827695846557617,0.4159008106913752,46.08964538574219,310.49732367779455
14,1,106,success,162.82798767089844,9.590431213378906,0.3026119847446645,46.26455307006836,313.40749896264356
15,1,106,success,161.7677459716797,8.830811500549316,0.36045200098788943,46.48710250854492,313.63166737495254
16,1,101,success,152.91563415527344,9.77383041381836,0.3256588572732858,45.8696174621582,310.83398604847343
17,1,100,success,150.00538635253906,9.285881042480469,0.3737769796870703,45.94489669799805,310.38648679770665
18,1,100,success,150.72848510742188,9.684935569763184,0.3437809499669164,45.81224060058594,310.23761991265724
19,1,104,success,158.56875610351562,9.364202499389648,0.33043070490389176,46.206356048583984,312.43622245323326
20,1,103,success,156.91917419433594,9.733095169067383,0.3121604558022101,46.029930114746094,311.4683410675798
21,1,105,success,160.9447479248047,9.723939895629883,0.30001440510637045,46.16764831542969,312.9742077533779
22,1,107,success,164.0037384033203,8.983059883117676,0.3426407085819209,46.496334075927734,313.54868426043237
23,1,103,success,155.76278686523438,8.892695426940918,0.38206117205707596,46.27313232421875,311.1373032651855
24,1,108,success,166.1002655029297,9.102985382080078,0.3250574537807809,46.52737045288086,314.6037794757895
25,1,104,success,157.3970947265625,8.387227058410645,0.41543006124717324,46.49748992919922,312.5694145256743
26,1,103,success,155.50820922851562,8.410038948059082,0.4252062764248565,46.41850280761719,312.1263948855735
27,1,106,success,161.91238403320312,8.722561836242676,0.3690354143404798,46.5169677734375,313.54632903487413
28,1,108,success,166.112548828125,9.092082023620605,0.3274564510050421,46.525943756103516,314.6634527269213
29,1,99,success,148.90545654296875,9.82359504699707,0.3426407085819209,45.68827438354492,309.6951934863208
30,1,108,success,166.48765563964844,9.195183753967285,0.3158990505578665,46.50416946411133,314.6525114385977
31,1,107,success,164.169677734375,8.900504112243652,0.34548425507161473,46.52880096435547,314.2347887272625
32,1,107,success,163.55160522460938,8.339221000671387,0.3956475922549949,46.68288803100586,314.26310583054595
33,1,106,success,163.12039184570312,9.725960731506348,0.29341985746272314,46.2275390625,313.4099857668227
34,1,101,success,151.87747192382812,9.023167610168457,0.3871487825346627,46.09748458862305,310.97269846672157
35,1,104,success,158.61143493652344,9.600092887878418,0.3152790241277027,46.13200378417969,311.7338111233645
36,1,107,success,165.40545654296875,9.933574676513672,0.2748253344580246,46.232460021972656,313.9121631244813
37,1,100,success,148.8439178466797,8.332344055175781,0.4689721542747412,46.244728088378906,310.20762930675966
38,1,108,success,166.13973999023438,8.939369201660156,0.33571793833214275,46.57520294189453,314.41384447180445
39,1,104,success,157.92005920410156,8.842435836791992,0.375865149943243,46.35501480102539,311.96871761025835
40,1,104,success,158.0783233642578,9.121849060058594,0.350544518112095,46.279544830322266,312.18952321891885
41,1,103,success,156.5584259033203,9.407184600830078,0.3339648208712709,46.129966735839844,312.026106632953
42,1,103,success,155.90390014648438,8.825661659240723,0.38461339497041286,46.30225372314453,312.12240211980907
43,1,108,success,166.62936401367188,9.60016918182373,0.2873553965316923,46.39673614501953,314.3982682289438
44,1,99,success,149.06016540527344,9.949953079223633,0.3345502161079086,45.648521423339844,309.6718586421021
45,1,103,success,156.15451049804688,9.094339370727539,0.3609944407379501,46.21855926513672,311.5286841369927
46,1,108,success,165.7709197998047,8.638632774353027,0.3631561155689798,46.65227508544922,314.71683709374395
47,1,106,success,163.3349151611328,9.96325969696045,0.2804633621331792,46.159950256347656,313.4360055396779
48,1,102,success,154.27096557617188,9.261611938476562,0.35608270763149114,46.102394104003906,311.4497499179296
49,1,103,success,155.37217712402344,8.4872465133667,0.4187141549383329,46.395668029785156,311.43933860474897
50,1,104,success,157.92481994628906,8.967575073242188,0.36690839738340264,46.31354522705078,312.43894972477443
51,1,104,success,157.56869506835938,8.502009391784668,0.4054182045431246,46.463157653808594,312.70493288934426
52,1,103,success,156.12049865722656,8.961559295654297,0.374300129488811,46.25218200683594,311.979918738148
53,1,101,success,151.56536865234375,8.71308422088623,0.4177784990633205,46.192710876464844,311.0028050567209
54,1,101,success,151.58578491210938,8.883853912353516,0.4025119323708577,46.13945770263672,310.79064035894885
55,1,103,success,155.40467834472656,8.597956657409668,0.408782739720017,46.363792419433594,312.1218138813175
56,1,103,success,156.12469482421875,9.085864067077637,0.362616904150519,46.21989822387695,311.93042523414647
57,1,105,success,159.3966827392578,8.472450256347656,0.4010508855382832,46.52805709838867,312.7866529589402
58,1,99,success,148.3510284423828,9.659435272216797,0.35663179080773666,45.73956298828125,308.97077761394485
59,1,105,success,160.30181884765625,9.114936828613281,0.3426407085819209,46.34771728515625,312.83939031776293
60,1,99,success,148.85264587402344,9.887006759643555,0.3345502161079086,45.68452072143555,309.55491774147924
61,1,101,success,152.4013214111328,9.453094482421875,0.34998588334318204,45.96359634399414,310.3119770311624
62,1,103,success,155.971435546875,8.883302688598633,0.38103549642323686,46.279685974121094,312.0630521340527
63,1,104,success,158.20001220703125,9.070524215698242,0.35553277068159933,46.2880859375,311.98405584146775
64,1,102,success,153.9250946044922,8.826028823852539,0.39614184715489525,46.22494888305664,311.4988533184187
65,1,106,success,161.54588317871094,8.465327262878418,0.3931670329670902,46.58955764770508,313.7571251740394
66,1,105,success,160.91329956054688,9.63177490234375,0.3045456219708657,46.1954231262207,312.91918882255493
67,1,106,success,161.5465545654297,8.509578704833984,0.3896676815953694,46.57393264770508,312.9953001667144
68,1,102,success,153.07879638671875,8.4379243850708,0.4329587012153796,46.3505973815918,311.23750983976015
69,1,101,success,152.69387817382812,9.57847785949707,0.33919698589933867,45.92850875854492,310.90618866886206
70,1,100,success,150.68368530273438,9.73755168914795,0.3380412698670049,45.80253219604492,309.83356265235483
71,1,105,success,160.52960205078125,9.30607795715332,0.3280534522271835,46.28855514526367,312.86647060526036
72,1,101,success,151.40185546875,8.552549362182617,0.4306930527624923,46.24932861328125,310.7205251440817
73,1,108,success,166.61912536621094,9.25714111328125,0.3127866720913092,46.483245849609375,314.63114372377
74,1,102,success,154.15184020996094,9.277087211608887,0.35718004689076244,46.088356018066406,310.8285057699584
75,1,105,success,159.40643310546875,8.401785850524902,0.40926111976618235,46.543174743652344,313.0828298395943
76,1,99,success,148.49266052246094,9.59609317779541,0.35608270763149114,45.771522521972656,309.46321631235423
77,1,106,success,162.60179138183594,9.54298210144043,0.3045456219708657,46.283573150634766,312.9851021471697
78,1,100,success,150.25880432128906,9.27314281463623,0.37167709672368804,45.9520378112793,310.44104451136104
79,1,101,success,152.02198791503906,9.003129959106445,0.3866430283709645,46.11005401611328,311.02845450908177
80,1,108,success,165.49526977539062,8.578259468078613,0.3690354143404798,46.66863250732422,314.5178194826657
