left,right,mid,n,success,near_miss,low_agl,wrong_way,success_rate
115.0,120.0,117.5,717,629,53,19,12,87.72663877266388
120.0,125.0,122.5,808,676,112,15,5,83.66336633663366
125.0,130.0,127.5,746,455,254,32,3,60.991957104557635
