left,right,mid,n,success,near_miss,low_agl,wrong_way,success_rate
115.0,120.0,117.5,628,553,47,13,12,88.05732484076432
120.0,125.0,122.5,683,578,93,8,4,84.62664714494875
125.0,130.0,127.5,640,402,214,21,3,62.81250000000001
